City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Airai,TL,80.2,light rain,-8.93,125.41,Juvinal Martin
Aripuana,BR,73.69,light rain,-9.17,-60.63,
Auki,SB,84.78,light rain,-8.77,160.7,Auki Motel
Avarua,CK,80.6,moderate rain,-21.21,-159.78,Paradise Inn
Balaipungut,ID,83.34,moderate rain,1.05,101.28,Swee Ann Homestay
Bandarbeyla,SO,78.26,light rain,9.49,50.81,REER XOOSHLE GROUP
Bengkulu,ID,83.8,light rain,-3.8,102.27,Grage Hotel Bengkulu
Bima,ID,80.64,moderate rain,-8.47,118.72,Lambitu Hotel
Bizhbulyak,RU,27.77,light snow,53.7,54.26,Монумент дружбы
Borba,BR,74.61,light rain,-4.39,-59.59,Hotel da Amazônia
Bredasdorp,ZA,69.01,light rain,-34.53,20.04,Bredasdorp Country Manor
Buala,SB,81.63,light rain,-8.14,159.59,Maringe Lagoon Lodge
Bulungu,CD,72.84,light rain,-4.55,18.6,
Butaritari,KI,83.79,light rain,3.07,172.79,Isles Sunset Lodge
Cabatuan,PH,83.77,light rain,10.88,122.49,Eilsel abdon ll
Caravelas,BR,79.84,light rain,-17.71,-39.25,Pousada dos Navegantes
Christchurch,NZ,80.01,light rain,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
Chui,UY,76.23,light rain,-33.7,-53.46,Nuevo Hotel Plaza
Coari,BR,75.24,light rain,-4.08,-63.14,HOTEL ALEX FLAT
Codrington,AU,61.86,light rain,-38.27,141.97,Codrington Gardens Bed And Breakfast
Daru,PG,91.58,light rain,-9.08,143.21,New century hotel
Dingle,PH,83.77,light rain,11.0,122.67,Camp Pasica
Drumheller,CA,5.0,light snow,51.46,-112.71,Ramada by Wyndham Drumheller Hotel & Suites
Entebbe,UG,75.42,light rain,0.06,32.45,WB APARTMENT
Faanui,PF,82.53,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
Farafangana,MG,79.41,light rain,-22.82,47.83,Austral Hotel
Goderich,CA,28.99,snow,43.75,-81.72,Harmony Inn
Gornyy,RU,19.27,light snow,55.12,83.91,Gostinyy Dvor
Hluti,SZ,75.2,light rain,-27.22,31.62,
Hofn,IS,39.65,light snow,64.25,-15.21,Hótel Höfn
Hualmay,PE,69.33,light rain,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
Igrim,RU,27.99,snow,63.19,64.42,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
Iracoubo,GF,79.3,light rain,5.48,-53.2,
Kaitangata,NZ,62.01,light rain,-46.28,169.85,Kaitangata Motor Camp
Kavieng,PG,83.55,moderate rain,-2.57,150.8,Nusa Island Retreat
Kawalu,ID,81.54,light rain,-7.38,108.21,KOSAN UNGU UNSIK
Kirando,TZ,74.39,light rain,-7.42,30.6,Lakeshore Lodge
Kiunga,PG,90.01,light rain,-6.12,141.29,Airport Lodge Kiunga
Korsakovo,RU,33.24,light rain,53.27,37.36,
Kralendijk,BQ,80.6,light rain,12.15,-68.27,Divi Flamingo Beach Resort & Casino
