City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rhyl,75,GB,2020-02-16 07:12:23,81,53.32,-3.49,48.99,25.28
1,Mahebourg,40,MU,2020-02-16 07:12:23,62,-20.41,57.7,84.2,12.75
2,Hermanus,43,ZA,2020-02-16 07:08:09,70,-34.42,19.23,71.01,15.01
3,Ushuaia,20,AR,2020-02-16 07:12:24,75,-54.8,-68.3,41.0,5.82
4,Barrow,1,US,2020-02-16 07:12:24,96,71.29,-156.79,-32.8,10.29
5,Hobyo,87,SO,2020-02-16 07:12:24,61,5.35,48.53,80.96,19.82
6,Vestmannaeyjar,100,IS,2020-02-16 07:12:24,76,63.44,-20.27,39.92,33.58
7,Avarua,100,CK,2020-02-16 07:12:25,94,-21.21,-159.78,78.8,2.24
8,Demmin,75,DE,2020-02-16 07:12:25,66,53.91,13.03,50.0,12.75
9,Qaanaaq,92,GL,2020-02-16 07:12:25,39,77.48,-69.36,-0.29,11.27
10,Lavrentiya,100,RU,2020-02-16 07:12:25,81,65.58,-171.0,-4.85,11.25
11,Iqaluit,75,CA,2020-02-16 07:10:55,66,63.75,-68.51,-29.0,3.36
12,Kavaratti,40,IN,2020-02-16 07:12:26,70,10.57,72.64,86.0,4.7
13,Meulaboh,67,ID,2020-02-16 07:12:26,74,4.14,96.13,82.33,3.56
14,Saint-Philippe,20,RE,2020-02-16 07:12:26,66,-21.36,55.77,86.0,20.8
15,Busselton,30,AU,2020-02-16 07:12:26,32,-33.65,115.33,80.01,10.67
16,Faanui,100,PF,2020-02-16 07:12:26,70,-16.48,-151.75,83.37,7.16
17,Mataura,95,NZ,2020-02-16 07:12:27,87,-46.19,168.86,60.01,7.0
18,Antalaha,47,MG,2020-02-16 07:12:27,77,-14.9,50.28,81.5,2.19
19,Tuatapere,100,NZ,2020-02-16 07:12:27,87,-46.13,167.68,60.01,7.0
20,Lebu,8,CL,2020-02-16 07:12:27,98,-37.62,-73.65,50.74,3.47
21,Zalantun,0,CN,2020-02-16 07:12:27,64,48.0,122.72,15.37,7.96
22,Rikitea,30,PF,2020-02-16 07:12:27,77,-23.12,-134.97,80.04,18.77
23,Tiksi,100,RU,2020-02-16 07:12:28,85,71.69,128.87,-1.64,8.93
24,Airai,0,TL,2020-02-16 07:12:28,69,-8.93,125.41,81.66,2.98
25,Oistins,75,BB,2020-02-16 07:12:28,69,13.07,-59.53,78.8,18.34
26,Nikolskoye,90,RU,2020-02-16 07:12:28,92,59.7,30.79,35.6,13.42
27,Jamestown,90,US,2020-02-16 07:12:29,92,42.1,-79.24,34.0,12.75
28,Bathsheba,75,BB,2020-02-16 07:12:29,69,13.22,-59.52,78.8,18.34
29,Pozo Colorado,77,PY,2020-02-16 07:12:29,67,-23.49,-58.8,83.57,8.55
30,Suluq,0,LY,2020-02-16 07:12:29,81,31.67,20.25,51.51,6.82
31,Punta Arenas,40,CL,2020-02-16 07:10:21,93,-53.15,-70.92,41.0,12.75
32,Dingle,36,PH,2020-02-16 07:12:30,67,11.0,122.67,84.56,11.32
33,Sao Filipe,76,CV,2020-02-16 07:12:30,56,14.9,-24.5,74.1,13.69
34,Vardo,100,NO,2020-02-16 07:12:30,87,70.37,31.11,22.6,10.25
35,Atuona,98,PF,2020-02-16 07:12:30,78,-9.8,-139.03,81.23,14.09
36,Yulara,0,AU,2020-02-16 07:12:30,12,-25.24,130.99,104.0,5.82
37,The Valley,75,AI,2020-02-16 07:07:56,78,18.22,-63.06,77.0,11.41
38,Inzer,98,RU,2020-02-16 07:12:31,91,54.22,57.56,11.88,2.57
39,Touros,40,BR,2020-02-16 07:12:31,94,-5.2,-35.46,75.2,4.7
40,Khatanga,97,RU,2020-02-16 07:12:31,92,71.97,102.5,7.09,14.0
41,Vaini,20,TO,2020-02-16 07:12:32,74,-21.2,-175.2,78.8,9.17
42,Kodiak,20,US,2020-02-16 07:12:32,92,57.79,-152.41,28.4,4.7
43,North Bend,90,US,2020-02-16 07:12:32,100,43.41,-124.22,50.0,5.82
44,Yellowknife,5,CA,2020-02-16 07:12:32,66,62.46,-114.35,-29.0,8.05
45,Hovd,99,MN,2020-02-16 07:12:32,59,48.01,91.64,8.11,4.32
46,San Patricio,21,MX,2020-02-16 07:12:33,64,19.22,-104.7,78.73,3.27
47,Kandrian,23,PG,2020-02-16 07:12:33,64,-6.22,149.55,85.71,10.04
48,Manggar,100,ID,2020-02-16 07:12:33,76,-2.88,108.27,83.19,15.84
49,Bredasdorp,0,ZA,2020-02-16 07:12:33,54,-34.53,20.04,80.6,5.82
50,Margate,75,GB,2020-02-16 07:12:33,93,51.38,1.39,55.0,34.45
51,Bluff,100,NZ,2020-02-16 07:12:34,87,-46.6,168.33,60.01,7.0
52,Samfya,99,ZM,2020-02-16 07:12:34,94,-11.36,29.56,69.03,2.53
53,Carnarvon,52,AU,2020-02-16 07:12:34,54,-24.87,113.63,82.4,21.92
54,Port Elizabeth,72,ZA,2020-02-16 07:08:43,78,-33.92,25.57,80.6,4.7
55,Hobart,20,AU,2020-02-16 07:08:06,51,-42.88,147.33,64.0,14.99
56,Komsomolskiy,33,UZ,2020-02-16 07:12:34,38,40.43,71.72,41.0,4.7
57,Hilo,75,US,2020-02-16 07:12:35,73,19.73,-155.09,75.0,4.7
58,Butaritari,97,KI,2020-02-16 07:12:35,78,3.07,172.79,82.96,15.5
59,Marrakesh,73,MA,2020-02-16 07:10:54,70,31.63,-8.01,46.4,2.24
60,Darnah,49,LY,2020-02-16 07:12:35,74,32.77,22.64,58.75,22.95
61,Saint Anthony,1,US,2020-02-16 07:12:36,62,45.02,-93.22,23.0,8.05
62,Cayenne,82,GF,2020-02-16 07:08:23,88,4.93,-52.33,77.0,3.36
63,Brattvag,20,NO,2020-02-16 07:12:36,87,62.6,6.44,43.0,17.22
64,Tongzi,0,CN,2020-02-16 07:12:36,25,28.78,105.09,53.4,6.53
65,Manokwari,63,ID,2020-02-16 07:12:36,89,-0.87,134.08,77.05,5.79
66,Kapaa,75,US,2020-02-16 07:12:37,73,22.08,-159.32,75.2,16.11
67,Gornopravdinsk,95,RU,2020-02-16 07:12:37,94,60.05,69.9,12.13,6.64
68,Nisia Floresta,1,BR,2020-02-16 07:12:37,88,-6.09,-35.21,77.0,2.24
69,Katsuura,75,JP,2020-02-16 07:12:37,93,35.13,140.3,53.01,3.36
70,Tasiilaq,48,GL,2020-02-16 07:12:37,49,65.61,-37.64,26.6,3.36
71,Provideniya,100,RU,2020-02-16 07:12:38,95,64.38,-173.3,-6.5,14.63
72,Mandiana,0,GN,2020-02-16 07:12:38,18,10.63,-8.68,62.87,3.94
73,Narsaq,91,GL,2020-02-16 07:12:38,79,60.92,-46.05,24.8,4.7
